plant name,Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Piper longum,alpha-Zingiberene,CC(=CCC[C@@H]([C@@H]1CC=C(C=C1)C)C)C,C15H24,204.35,15,0,0.6,4,0,0,70.68,0,3.65,5.17,4.89,4.53,4.09,4.47,-4.1,1.62E-02,7.94E-05,Moderately soluble,-4.92,2.48E-03,1.21E-05,Moderately soluble,-3.1,1.62E-01,7.91E-04,Soluble,Low,No,No,No,Yes,Yes,No,No,-3.88,1,0,0,0,2,0.55,0,1,2,4.81
Piper longum,(+)-Fargesin,COc1cc(ccc1OC)[C@@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2c(c1)OCO2,C21H22O6,370.4,27,12,0.43,4,6,0,96.92,55.38,3.51,2.81,2.86,1.79,3.48,2.89,-3.97,3.95E-02,1.07E-04,Soluble,-3.63,8.68E-02,2.34E-04,Soluble,-5.09,3.03E-03,8.18E-06,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-6.56,0,0,0,0,0,0.55,0,0,1,4.3
Piper longum,Dihydrocarveol,CC(=C)[C@@H]1CC[C@H]([C@@H](C1)O)C,C10H18O,154.25,11,0,0.8,1,1,1,48.76,20.23,2.44,3.21,2.36,2.3,2.06,2.48,-2.75,2.73E-01,1.77E-03,Soluble,-3.31,7.61E-02,4.93E-04,Soluble,-1.49,5.05E+00,3.27E-02,Soluble,High,Yes,No,No,No,No,No,No,-4.96,0,1,0,0,2,0.55,0,1,1,2.91
Piper longum,Laurotetanine,COc1c(OC)cc2c3c1c1cc(OC)c(cc1C[C@@H]3NCC2)O,C19H21NO4,327.37,24,12,0.37,3,5,2,95.57,59.95,3.06,2.58,2.12,1.75,3.55,2.61,-3.67,7.05E-02,2.15E-04,Soluble,-3.49,1.07E-01,3.26E-04,Soluble,-5.62,7.84E-04,2.39E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.47,0,0,0,0,0,0.55,0,0,0,3.57
Piper longum,Piperolactam A,COc1cc2c(=O)[nH]c3c2c(c1O)c1ccccc1c3,C16H11NO3,265.26,20,16,0.06,1,3,2,79.28,62.32,2.13,2.95,2.99,2.34,3.83,2.85,-3.87,3.59E-02,1.35E-04,Soluble,-3.92,3.18E-02,1.20E-04,Soluble,-5.67,5.65E-04,2.13E-06,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-5.82,0,0,0,0,0,0.55,0,1,0,2.02
Piper longum,Piperolactam C,COc1c(OC)c(OC)c2c3c1c1ccccc1cc3[nH]c2=O,C18H15NO4,309.32,23,16,0.17,3,4,1,90.24,60.55,2.7,3.25,3.3,2.26,4.39,3.18,-4.12,2.34E-02,7.55E-05,Moderately soluble,-4.2,1.97E-02,6.38E-05,Moderately soluble,-6.49,1.01E-04,3.27E-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-5.88,0,0,0,0,0,0.55,0,1,0,2.53
Piper longum,N-Isobutyldeca-trans-2-trans-4-dienamide,CCCCC/C=C/C=C/C(=O)N[C@@H](CC)C,C14H25NO,223.35,16,0,0.64,9,1,1,71.47,29.1,3.81,4.39,3.59,3.08,3.67,3.71,-3.4,8.96E-02,4.01E-04,Soluble,-4.72,4.28E-03,1.92E-05,Moderately soluble,-3.3,1.11E-01,4.99E-04,Soluble,High,Yes,No,Yes,No,Yes,No,No,-4.55,0,0,0,0,0,0.55,0,2,3,3.43
Piper longum,Piperolactam D,COc1c(OC)c(O)c2c3c1c1ccccc1cc3[nH]c2=O,C17H13NO4,295.29,22,16,0.12,2,4,2,85.77,71.55,2.41,3.47,3,2.02,3.86,2.95,-4.26,1.61E-02,5.46E-05,Moderately soluble,-4.65,6.54E-03,2.22E-05,Moderately soluble,-5.79,4.79E-04,1.62E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,Yes,Yes,-5.64,0,0,0,0,0,0.55,0,1,0,2.39
Piper longum,Guineensine,CC[C@H](NC(=O)/C=C/C=C/CCCCCC/C=C/c1ccc2c(c1)OCO2)C,C24H33NO3,383.52,28,6,0.46,13,3,1,116.75,47.56,5.05,6.81,5.69,3.87,6.55,5.59,-5.81,5.96E-04,1.55E-06,Moderately soluble,-7.62,9.27E-06,2.42E-08,Poorly soluble,-6.01,3.73E-04,9.73E-07,Poorly soluble,High,Yes,No,Yes,No,Yes,Yes,Yes,-3.8,0,1,1,0,1,0.55,0,2,3,4.25
Piper longum,Octadecane,CCCCCCCCCCCCCCCCCC,C18H38,254.49,18,0,1,15,0,0,88.64,0,5.23,9.37,7.27,6.92,7.1,7.18,-6.33,1.19E-04,4.67E-07,Poorly soluble,-9.27,1.35E-07,5.32E-10,Poorly soluble,-7.13,1.86E-05,7.33E-08,Poorly soluble,Low,No,No,Yes,No,No,No,No,-1.2,1,1,1,1,2,0.55,0,0,2,2.49
Piper longum,Piperonylic acid,OC(=O)c1ccc2c(c1)OCO2,C8H6O4,166.13,12,6,0.12,1,4,1,39.46,55.76,1.44,2.16,1.11,0.75,1.26,1.35,-2.53,4.85E-01,2.92E-03,Soluble,-2.96,1.81E-01,1.09E-03,Soluble,-1.52,5.06E+00,3.05E-02,Soluble,High,Yes,No,No,No,No,No,No,-5.78,0,2,0,0,1,0.85,0,0,1,1.96
Piper longum,Dehydropipernonaline,O=C(N1CCCCC1)/C=C/C=C\CC/C=C/c1ccc2c(c1)OCO2,C21H25NO3,339.43,25,6,0.38,7,3,0,104.23,38.77,4.22,4.7,3.84,3.23,4.78,4.15,-4.62,8.12E-03,2.39E-05,Moderately soluble,-5.24,1.94E-03,5.72E-06,Moderately soluble,-3.87,4.58E-02,1.35E-04,Soluble,High,Yes,No,No,Yes,Yes,No,Yes,-5.03,0,0,0,0,0,0.55,0,2,1,3.35
Piper longum,Retrofractamide A,CC[C@H](NC(=O)/C=C/C=C/CC/C=C/c1ccc2c(c1)OCO2)C,C20H25NO3,327.42,24,6,0.35,9,3,1,97.53,47.56,4.14,4.64,4.13,3,4.89,4.16,-4.38,1.35E-02,4.13E-05,Moderately soluble,-5.36,1.41E-03,4.32E-06,Moderately soluble,-4.43,1.21E-02,3.70E-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5,0,0,0,0,0,0.55,0,2,2,3.84
Piper longum,Hexadecane,CCCCCCCCCCCCCCCC,C16H34,226.44,16,0,1,13,0,0,79.03,0,4.67,8.28,6.49,6.44,6.21,6.42,-5.6,5.66E-04,2.50E-06,Moderately soluble,-8.14,1.63E-06,7.19E-09,Poorly soluble,-6.33,1.06E-04,4.69E-07,Poorly soluble,Low,No,No,Yes,No,No,No,No,-1.8,1,1,1,1,2,0.55,0,0,3,2.26
Piper longum,Sylvatine,CC(CCC/C=C/CCCCNC(=O)/C=C/C=C/c1ccc2c(c1)OCO2)C,C24H33NO3,383.52,28,6,0.46,13,3,1,116.75,47.56,4.92,6.44,5.54,3.87,6.55,5.47,-5.58,1.02E-03,2.66E-06,Moderately soluble,-7.23,2.24E-05,5.85E-08,Poorly soluble,-6.01,3.73E-04,9.73E-07,Poorly soluble,High,Yes,No,No,No,Yes,Yes,Yes,-4.07,0,0,1,0,1,0.55,0,3,3,3.76
Piper longum,Piperlonguminine,CC(CNC(=O)/C=C/C=C/c1ccc2c(c1)OCO2)C,C16H19NO3,273.33,20,6,0.31,6,3,1,78.77,47.56,3.27,4.32,2.65,2.14,3.45,3.17,-4.08,2.26E-02,8.28E-05,Moderately soluble,-5.03,2.53E-03,9.27E-06,Moderately soluble,-3.56,7.56E-02,2.77E-04,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-4.9,0,0,0,0,0,0.55,0,2,1,2.98
Piper longum,Piperidine,C1CCCNC1,C5H11N,85.15,6,0,1,0,1,1,30.75,12.03,1.7,0.84,0.38,0.76,1.75,1.09,-0.9,1.08E+01,1.27E-01,Very soluble,-0.68,1.80E+01,2.11E-01,Very soluble,-1.21,5.24E+00,6.15E-02,Soluble,Low,No,No,No,No,No,No,No,-6.22,0,3,0,0,2,0.55,0,0,1,1
Piper longum,Acetanisole,COc1ccc(cc1)C(=O)C,C9H10O2,150.17,11,6,0.22,2,2,0,43.13,26.3,1.93,1.74,1.9,1.44,2.16,1.83,-2.14,1.09E+00,7.26E-03,Soluble,-1.91,1.85E+00,1.23E-02,Very soluble,-2.84,2.16E-01,1.44E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.98,0,1,0,0,1,0.55,0,0,1,1
Piper longum,Aristolodione,COc1c(O)cc2c3c1c1ccccc1cc3n(c(=O)c2=O)C,C18H13NO4,307.3,23,17,0.11,1,4,1,90.45,68.53,2.09,3.02,2.36,1.61,3.35,2.49,-4.13,2.28E-02,7.43E-05,Moderately soluble,-4.12,2.31E-02,7.51E-05,Moderately soluble,-5.54,8.80E-04,2.86E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,No,No,-6.03,0,0,0,0,0,0.55,0,3,0,2.19
Piper longum,"4,5-Dihydropiperlonguminine",CC(CNC(=O)/C=C/CCc1ccc2c(c1)OCO2)C,C16H21NO3,275.34,20,6,0.44,7,3,1,78.45,47.56,3.06,3.51,2.68,2.23,3.63,3.02,-3.52,8.35E-02,3.03E-04,Soluble,-4.19,1.77E-02,6.42E-05,Moderately soluble,-4.28,1.46E-02,5.28E-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-5.49,0,0,0,0,0,0.55,0,1,1,2.7
Piper longum,"1,3-Benzodioxole-5-pentanoic acid",OC(=O)CCCCc1ccc2c(c1)OCO2,C12H14O4,222.24,16,6,0.42,5,4,1,58.47,55.76,2.16,2.54,2.21,1.68,2.62,2.24,-2.77,3.81E-01,1.72E-03,Soluble,-3.36,9.75E-02,4.39E-04,Soluble,-3.15,1.57E-01,7.06E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.85,0,0,0,0,0,0.85,0,0,1,2.15
Piper longum,"1-[9-(1,3-Benzodioxol-5-yl)-1-oxo-2,8-nonadienyl]piperidine",O=C(N1CCCCC1)/C=C/CCCC/C=C/c1ccc2c(c1)OCO2,C21H27NO3,341.44,25,6,0.48,8,3,0,104.7,38.77,4.35,5.14,4.07,3.31,4.96,4.36,-4.84,4.88E-03,1.43E-05,Moderately soluble,-5.7,6.83E-04,2.00E-06,Moderately soluble,-4.59,8.82E-03,2.58E-05,Moderately soluble,High,Yes,No,No,No,Yes,Yes,Yes,-4.73,0,0,0,0,1,0.55,0,1,2,3.25
Piper longum,"1-[9-(1,3-Benzodioxol-5-yl)-1-oxo-2,8-nonadienyl]piperidine",O=C(N1CCCCC1)/C=C/CCCC/C=C/c1ccc2c(c1)OCO2,C21H27NO3,341.44,25,6,0.48,8,3,0,104.7,38.77,4.35,5.14,4.07,3.31,4.96,4.36,-4.84,4.88E-03,1.43E-05,Moderately soluble,-5.7,6.83E-04,2.00E-06,Moderately soluble,-4.59,8.82E-03,2.58E-05,Moderately soluble,High,Yes,No,No,No,Yes,Yes,Yes,-4.73,0,0,0,0,1,0.55,0,1,2,3.25
Piper betle,Carvacrol,CC(c1ccc(c(c1)O)C)C,C10H14O,150.22,11,6,0.4,1,1,1,48.01,20.23,2.24,3.49,2.82,2.76,2.79,2.82,-3.31,7.40E-02,4.92E-04,Soluble,-3.6,3.79E-02,2.53E-04,Soluble,-3.01,1.46E-01,9.71E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-4.74,0,1,0,0,2,0.55,0,0,1,1
Piper betle,Eugenol,C=CCc1ccc(c(c1)OC)O,C10H12O2,164.2,12,6,0.2,3,2,1,49.06,29.46,2.37,2.27,2.13,2.01,2.48,2.25,-2.46,5.69E-01,3.47E-03,Soluble,-2.53,4.90E-01,2.98E-03,Soluble,-2.79,2.65E-01,1.61E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.69,0,0,0,0,1,0.55,0,1,1,1.58
Piper betle,Chavicol,C=CCc1ccc(cc1)O,C9H10O,134.18,10,6,0.11,2,1,1,42.57,20.23,1.85,2.85,2.12,2.37,2.47,2.33,-2.78,2.23E-01,1.66E-03,Soluble,-2.93,1.56E-01,1.17E-03,Soluble,-2.64,3.07E-01,2.29E-03,Soluble,High,Yes,No,Yes,No,No,No,No,-5.09,0,1,0,0,2,0.55,0,1,1,1.14
Piper betle,Octadecanoic acid,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,284.48,20,0,0.94,16,2,1,90.41,37.3,4.3,8.23,6.33,4.67,6.13,5.93,-5.73,5.26E-04,1.85E-06,Moderately soluble,-8.87,3.80E-07,1.33E-09,Poorly soluble,-6.11,2.19E-04,7.71E-07,Poorly soluble,High,No,No,Yes,No,No,No,No,-2.19,1,1,1,1,2,0.85,0,0,2,2.54
Piper betle,Triacontane,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,C33H68,464.89,33,0,1,30,0,0,160.75,0,8.69,17.49,13.12,10.01,13.74,12.61,-11.76,8.06E-10,1.73E-12,Insoluble,-17.7,9.26E-16,1.99E-18,Insoluble,-13.06,4.03E-11,8.67E-14,Insoluble,Low,No,Yes,No,No,No,No,No,3.28,1,3,1,1,3,0.55,0,0,3,4.32
Piper betle,Piperine,O=C(N1CCCCC1)/C=C/C=C/c1ccc2c(c1)OCO2,C17H19NO3,285.34,21,6,0.35,4,3,0,85.48,38.77,3.38,3.46,2.51,2.39,3.41,3.03,-3.74,5.24E-02,1.84E-04,Soluble,-3.96,3.16E-02,1.11E-04,Soluble,-3,2.87E-01,1.00E-03,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.58,0,0,0,0,0,0.55,0,2,0,2.92
Piper betle,Methyl chavicol,COc1ccc(cc1)CC=C,C10H12O,148.2,11,6,0.2,3,1,0,47.04,9.23,2.47,3.37,2.42,2.67,2.96,2.78,-3.09,1.21E-01,8.17E-04,Soluble,-3.24,8.49E-02,5.73E-04,Soluble,-3.35,6.54E-02,4.42E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-4.81,0,1,0,0,2,0.55,0,1,1,1.28
Piper betle,beta-Sitosterol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,C29H50O,414.71,30,0,0.93,6,1,1,133.23,20.23,5.05,9.34,8.02,6.73,7.04,7.24,-7.9,5.23E-06,1.26E-08,Poorly soluble,-9.67,8.90E-08,2.15E-10,Poorly soluble,-6.19,2.69E-04,6.49E-07,Poorly soluble,Low,No,No,No,No,No,No,No,-2.2,1,3,0,1,2,0.55,0,1,2,6.3
Piper betle,Cepharadione A,Cn1c2cc3ccccc3c3c2c(c(=O)c1=O)cc1c3OCO1,C18H11NO4,305.28,23,17,0.11,0,4,0,88,57.53,2.26,3.21,2.37,2.02,3.67,2.71,-4.3,1.52E-02,4.99E-05,Moderately soluble,-4.09,2.48E-02,8.12E-05,Moderately soluble,-5.74,5.50E-04,1.80E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,No,No,-5.88,0,0,0,0,0,0.55,0,3,0,2.54
Piper betle,beta-Sitosterol palmitate,CCCCCCCCCCCCCCCC(=O)O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](CC[C@H](C(C)C)CC)C)C)C1)C,C45H80O2,653.12,47,0,0.93,22,2,0,210.26,26.3,8.67,17.24,14.06,9.34,13.49,12.56,-13.3,3.28E-11,5.03E-14,Insoluble,-17.99,6.63E-16,1.02E-18,Insoluble,-12.22,3.93E-10,6.01E-13,Insoluble,Low,No,Yes,No,No,No,No,No,1.96,2,4,1,1,3,0.17,0,1,3,8.12
Piper betle,Dotriacontanoic acid,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)O,C32H64O2,480.85,34,0,0.97,30,2,1,157.71,37.3,7.37,15.79,11.79,7.58,12.3,10.97,-10.79,7.82E-09,1.63E-11,Insoluble,-16.72,9.17E-15,1.91E-17,Insoluble,-11.63,1.14E-09,2.36E-12,Insoluble,Low,No,Yes,No,No,No,No,No,1.98,1,4,1,1,2,0.85,0,0,3,4.24
Piper betle,Piperlonguminine,CC(CNC(=O)/C=C/C=C/c1ccc2c(c1)OCO2)C,C16H19NO3,273.33,20,6,0.31,6,3,1,78.77,47.56,3.27,4.32,2.65,2.14,3.45,3.17,-4.08,2.26E-02,8.28E-05,Moderately soluble,-5.03,2.53E-03,9.27E-06,Moderately soluble,-3.56,7.56E-02,2.77E-04,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-4.9,0,0,0,0,0,0.55,0,2,1,2.98
Solanum nigrum,[C@@H]1([C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]1[C@@H]([C@@H]([C@H](O[C@H]1CO)O[C@@H]1CC2=CC[C@@H]3[C@@H]([C@]2(CC1)C)CC[C@]1([C@H]3C[C@H]2[C@@H]1[C@@H]([C@@H]1N2C[C@H](CC1)C)C)C)O[C@H]1[C@H]([C@H]([C@H]([C@@H](O1)C)O)O)O)O)O)O)O)C,OC[C@@H]1O[C@H](O[C@H]2CC[C@]3(C(=CC[C@@H]4[C@@H]3CC[C@]3([C@H]4C[C@H]4[C@@H]3[C@H](C)[C@@H]3N4C[C@H](CC3)C)C)C2)C)[C@H]([C@H]([C@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@@H]([C@H]1O)O)O)O)O[C@@H]1O[C@@H](C)[C@@H]([C@@H]([C@@H]1O)O)O,C45H73NO14,852.06,60,0,0.96,7,15,8,221.02,220.46,5.94,1.75,0.8,-0.4,-1.33,1.35,-5.76,1.47E-03,1.72E-06,Moderately soluble,-6,8.58E-04,1.01E-06,Moderately soluble,0.16,1.24E+03,1.45E+00,Soluble,Low,No,Yes,No,No,No,No,No,-10.26,3,3,1,1,5,0.17,0,1,1,9.43
Solanum nigrum,O[C@@H]1CC2=CC[C@@H]3[C@@H]([C@]2(CC1)C)CC[C@]1([C@H]3C[C@H]2[C@@H]1[C@@H]([C@H]1N2C[C@H](CC1)C)C)C,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3C[C@H]3[C@@H]2[C@H](C)[C@H]2N3C[C@H](CC2)C)C)C1)C,C27H43NO,397.64,29,0,0.93,0,2,1,126.2,23.47,4.36,6.09,5.27,5.41,3.83,4.99,-6.14,2.87E-04,7.21E-07,Poorly soluble,-6.36,1.72E-04,4.33E-07,Poorly soluble,-4.14,2.86E-02,7.19E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.4,1,1,0,0,1,0.55,0,1,2,5.59
